customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalSpending,AvgMonthlySpending,CLV,ServiceUsageScore,Tenure_0_12,Tenure_13_24,Tenure_25_48,Tenure_48_plus,Charges_Low,Charges_High,ContractRisk,SeniorCitizenFamily,Payment_0,Payment_1,Payment_2,Payment_3,Internet_0,Internet_1,Internet_2
7590-VHVEG,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.85,29.85,0,29.85,29.85,29.85,1,1,0,0,0,1,0,3,0,False,False,True,False,True,False,False
5575-GNVDE,1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95,1889.5,0,1936.3000000000002,55.5735294117647,1936.3000000000002,2,0,0,1,0,0,0,2,0,False,False,False,True,True,False,False
3668-QPYBK,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.85,108.15,1,107.7,54.075,107.7,2,1,0,0,0,0,0,3,0,False,False,False,True,True,False,False
7795-CFOCW,1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.3,1840.75,0,1903.4999999999998,40.90555555555556,1903.4999999999998,3,0,0,1,0,0,0,2,0,True,False,False,False,True,False,False
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,141.4,75.825,141.4,0,1,0,0,0,0,0,3,0,False,False,True,False,False,True,False
9305-CDSKC,0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.65,820.5,1,797.2,102.5625,797.2,3,1,0,0,0,0,1,3,0,False,False,True,False,False,True,False
1452-KIOVK,1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.1,1949.4,0,1960.1999999999998,88.60909090909091,1960.1999999999998,2,0,1,0,0,0,0,3,0,False,True,False,False,False,True,False
6713-OKOMC,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,301.9,0,297.5,30.189999999999998,297.5,1,1,0,0,0,1,0,3,0,False,False,False,True,True,False,False
7892-POOKP,0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8,3046.05,1,2934.4,108.78750000000001,2934.4,4,0,0,1,0,0,1,3,0,False,False,True,False,False,True,False
6388-TABGU,1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.15,3487.95,0,3481.2999999999997,56.25725806451613,3481.2999999999997,2,0,0,0,1,0,0,2,0,True,False,False,False,True,False,False
9763-GRSKD,1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95,587.45,0,649.35,45.18846153846154,649.35,1,0,1,0,0,0,0,3,0,False,False,False,True,True,False,False
7469-LKBCI,1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.95,326.8,0,303.2,20.425,303.2,0,0,1,0,0,1,0,1,0,False,True,False,False,False,False,True
8091-TTVAX,1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.35,5681.1,0,5820.299999999999,97.95,5820.299999999999,3,0,0,0,1,0,1,2,0,False,True,False,False,False,True,False
0280-XJGEX,1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.7,5036.3,1,5081.3,102.78163265306122,5081.3,4,0,0,0,1,0,1,3,0,True,False,False,False,False,True,False
5129-JLPIS,1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,2686.05,0,2637.5,107.44200000000001,2637.5,5,0,0,1,0,0,1,3,0,False,False,True,False,False,True,False
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,7895.15,0,7814.25,114.42246376811593,7814.25,6,0,0,0,1,0,1,1,0,False,True,False,False,False,True,False
8191-XWSZG,0,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,3,20.65,1022.95,0,1073.8,19.672115384615385,1073.8,0,0,0,0,1,1,0,2,0,False,False,False,True,False,False,True
9959-WOFKT,1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.7,7382.25,0,7575.7,103.97535211267606,7575.7,4,0,0,0,1,0,1,1,0,True,False,False,False,False,True,False
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.2,528.35,1,552.0,52.835,552.0,2,1,0,0,0,0,0,3,0,False,True,False,False,True,False,False
4183-MYFRB,0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05,1862.9,0,1891.05,88.70952380952382,1891.05,3,0,1,0,0,0,1,3,0,False,False,True,False,False,True,False
8779-QRDMV,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.65,39.65,1,39.65,39.65,39.65,2,1,0,0,0,0,0,3,0,False,False,True,False,True,False,False
1680-VDCWW,1,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,0,19.8,202.25,0,237.60000000000002,16.854166666666668,237.60000000000002,0,1,0,0,0,1,0,2,0,True,False,False,False,False,False,True
1066-JKSGK,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.15,20.15,1,20.15,20.15,20.15,0,1,0,0,0,1,0,3,0,False,False,False,True,False,False,True
3638-WEABW,0,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.9,3505.1,0,3474.2,60.432758620689654,3474.2,2,0,0,0,1,0,0,1,0,False,True,False,False,True,False,False
6322-HRPFA,1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.6,2970.3,0,2920.4,60.61836734693878,2920.4,3,0,0,0,1,0,0,3,0,False,True,False,False,True,False,False
6865-JZNKO,0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.3,1530.6,0,1659.0,51.019999999999996,1659.0,2,0,0,1,0,0,0,3,0,True,False,False,False,True,False,False
6467-CHFZW,1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.35,4749.15,1,4669.45,101.04574468085106,4669.45,3,0,0,1,0,0,1,3,0,False,False,True,False,False,True,False
8665-UTDHZ,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,30.2,30.2,1,30.2,30.2,30.2,1,1,0,0,0,1,0,3,0,False,False,True,False,True,False,False
5248-YGIJN,1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,6369.45,0,6498.0,88.46458333333334,6498.0,6,0,0,0,1,0,1,1,0,False,True,False,False,True,False,False
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.7,1093.1,1,1099.9,64.3,1099.9,2,0,1,0,0,0,0,3,0,False,False,False,True,True,False,False
3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.35,6766.95,0,6840.849999999999,95.30915492957746,6840.849999999999,4,0,0,0,1,0,1,1,1,False,True,False,False,False,True,False
4929-XIHVW,1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,181.65,0,191.0,90.825,191.0,3,1,0,0,0,0,1,3,1,False,True,False,False,False,True,False
6827-IEAUQ,0,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.15,1874.45,0,1786.0500000000002,69.42407407407407,1786.0500000000002,4,0,0,1,0,0,0,2,0,False,False,False,True,True,False,False
7310-EGVHZ,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,20.2,20.2,0,20.2,20.2,20.2,0,1,0,0,0,1,0,3,0,True,False,False,False,False,False,True
3413-BMNZE,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,0,45.25,45.25,45.25,0,1,0,0,0,0,0,3,0,True,False,False,False,True,False,False
6234-RAAPL,0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,0,99.9,7251.7,0,7192.8,100.71805555555555,7192.8,4,0,0,0,1,0,1,1,0,True,False,False,False,False,True,False
6047-YHPVI,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,348.5,63.379999999999995,348.5,0,1,0,0,0,0,0,3,0,False,False,True,False,False,True,False
6572-ADKRS,0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,1,74.8,3548.3,0,3440.7999999999997,77.13695652173914,3440.7999999999997,1,0,0,1,0,0,0,3,0,False,True,False,False,False,True,False
5380-WJKOV,1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,2,106.35,3549.25,1,3615.8999999999996,104.38970588235294,3615.8999999999996,4,0,0,1,0,0,1,3,0,False,False,True,False,False,True,False
8168-UQWWF,0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,0,97.85,1105.4,1,1076.35,100.4909090909091,1076.35,3,1,0,0,0,0,1,3,0,True,False,False,False,False,True,False
8865-TNMNX,1,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,3,49.55,475.7,0,495.5,47.57,495.5,1,1,0,0,0,0,0,2,0,False,False,False,True,True,False,False
9489-DEDVP,0,0,1,1,70,1,1,0,1,1,0,0,1,0,2,1,1,69.2,4872.35,0,4844.0,69.605,4844.0,3,0,0,0,1,0,0,1,0,False,True,False,False,True,False,False
9867-JCZSP,0,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,3,20.75,418.25,0,352.75,24.602941176470587,352.75,0,0,1,0,0,1,0,2,0,False,False,False,True,False,False,True
4671-VJLCL,0,0,0,0,63,1,1,0,1,1,1,1,1,0,2,1,1,79.85,4861.45,0,5030.549999999999,77.16587301587302,5030.549999999999,5,0,0,0,1,0,0,1,0,False,True,False,False,True,False,False
4080-IIARD,0,0,1,0,13,1,1,0,1,1,0,1,1,0,0,1,2,76.2,981.45,0,990.6,75.49615384615385,990.6,4,0,1,0,0,0,0,3,0,False,False,True,False,True,False,False
3714-NTNFO,0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,2,84.5,3906.7,0,4140.5,79.72857142857143,4140.5,1,0,0,0,1,0,0,3,0,False,False,True,False,False,True,False
5948-UJZLF,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,49.25,97.0,0,98.5,48.5,98.5,1,1,0,0,0,0,0,3,0,False,False,False,True,True,False,False
7760-OYPDY,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,2,80.65,144.15,1,161.3,72.075,161.3,1,1,0,0,0,0,0,3,0,False,False,True,False,False,True,False
